tabela;role;origem_snapshot_dml;destino_select_probe;destino_insert_probe;destino_update_probe;destino_delete_probe;grant_ausente_confirmado;observacao
semester_projectors;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
shift_handover_incidents;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
shift_handover_incidents;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
shift_handover_tasks;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
shift_handover_tasks;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
shift_handovers;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
shift_handovers;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
task_comments;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
task_comments;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
task_history;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
task_history;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
task_team_members;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
task_team_members;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
tasks;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
tasks;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
uber_requests;anon;nenhum;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
uber_requests;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
user_roles;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
user_roles;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
